table,gender_blend,issue_age,duration,q_sel
t3282,20% Male,23,25,0.00185
t3282,20% Male,24,1,2.2e-4
t3282,20% Male,24,2,2.5e-4
t3282,20% Male,24,3,2.5e-4
t3282,20% Male,24,4,2.6e-4
t3282,20% Male,24,5,2.8e-4
t3282,20% Male,24,6,3.2e-4
t3282,20% Male,24,7,3.5e-4
t3282,20% Male,24,8,3.9e-4
t3282,20% Male,24,9,4.4e-4
t3282,20% Male,24,10,4.8e-4
t3282,20% Male,24,11,5.4e-4
t3282,20% Male,24,12,6.1e-4
t3282,20% Male,24,13,6.9e-4
t3282,20% Male,24,14,8e-4
t3282,20% Male,24,15,9.1e-4
t3282,20% Male,24,16,0.001
t3282,20% Male,24,17,0.0011
t3282,20% Male,24,18,0.0012
t3282,20% Male,24,19,0.00131
t3282,20% Male,24,20,0.0014
t3282,20% Male,24,21,0.00148
t3282,20% Male,24,22,0.00157
t3282,20% Male,24,23,0.00168
t3282,20% Male,24,24,0.00182
t3282,20% Male,24,25,0.00197
t3282,20% Male,25,1,1.9e-4
t3282,20% Male,25,2,2.2e-4
t3282,20% Male,25,3,2.4e-4
t3282,20% Male,25,4,2.6e-4
t3282,20% Male,25,5,2.8e-4
t3282,20% Male,25,6,3.2e-4
t3282,20% Male,25,7,3.6e-4
t3282,20% Male,25,8,4e-4
t3282,20% Male,25,9,4.5e-4
t3282,20% Male,25,10,5.2e-4
t3282,20% Male,25,11,5.8e-4
t3282,20% Male,25,12,6.6e-4
t3282,20% Male,25,13,7.6e-4
t3282,20% Male,25,14,8.8e-4
t3282,20% Male,25,15,9.7e-4
t3282,20% Male,25,16,0.00105
t3282,20% Male,25,17,0.00115
t3282,20% Male,25,18,0.00125
t3282,20% Male,25,19,0.00135
t3282,20% Male,25,20,0.00145
t3282,20% Male,25,21,0.00155
t3282,20% Male,25,22,0.00166
t3282,20% Male,25,23,0.0018
t3282,20% Male,25,24,0.00195
t3282,20% Male,25,25,0.00211
t3282,20% Male,26,1,1.7e-4
t3282,20% Male,26,2,2.1e-4
t3282,20% Male,26,3,2.3e-4
t3282,20% Male,26,4,2.5e-4
t3282,20% Male,26,5,2.8e-4
t3282,20% Male,26,6,3.2e-4
t3282,20% Male,26,7,3.7e-4
t3282,20% Male,26,8,4.2e-4
t3282,20% Male,26,9,4.8e-4
t3282,20% Male,26,10,5.6e-4
t3282,20% Male,26,11,6.3e-4
t3282,20% Male,26,12,7.2e-4
t3282,20% Male,26,13,8.3e-4
t3282,20% Male,26,14,9.4e-4
t3282,20% Male,26,15,0.00102
t3282,20% Male,26,16,0.00111
t3282,20% Male,26,17,0.00121
t3282,20% Male,26,18,0.00131
t3282,20% Male,26,19,0.00141
t3282,20% Male,26,20,0.00152
t3282,20% Male,26,21,0.00165
t3282,20% Male,26,22,0.00178
t3282,20% Male,26,23,0.00193
t3282,20% Male,26,24,0.00208
t3282,20% Male,26,25,0.00227
t3282,20% Male,27,1,1.5e-4
t3282,20% Male,27,2,2e-4
t3282,20% Male,27,3,2.3e-4
t3282,20% Male,27,4,2.6e-4
t3282,20% Male,27,5,2.9e-4
t3282,20% Male,27,6,3.3e-4
t3282,20% Male,27,7,3.8e-4
t3282,20% Male,27,8,4.4e-4
t3282,20% Male,27,9,5.1e-4
t3282,20% Male,27,10,6e-4
t3282,20% Male,27,11,6.9e-4
t3282,20% Male,27,12,7.9e-4
