table,gender,issue_age,duration,q_sel
t3363,Male,16,21,0.0013
t3363,Male,16,22,0.0014
t3363,Male,16,23,0.00151
t3363,Male,16,24,0.00163
t3363,Male,16,25,0.00176
t3363,Male,17,1,6.3e-4
t3363,Male,17,2,7.5e-4
t3363,Male,17,3,8.2e-4
t3363,Male,17,4,8.4e-4
t3363,Male,17,5,8.5e-4
t3363,Male,17,6,8.6e-4
t3363,Male,17,7,8.6e-4
t3363,Male,17,8,8.6e-4
t3363,Male,17,9,8.6e-4
t3363,Male,17,10,8.5e-4
t3363,Male,17,11,8.4e-4
t3363,Male,17,12,8.2e-4
t3363,Male,17,13,8.2e-4
t3363,Male,17,14,8.4e-4
t3363,Male,17,15,8.8e-4
t3363,Male,17,16,9.5e-4
t3363,Male,17,17,0.00102
t3363,Male,17,18,0.0011
t3363,Male,17,19,0.00119
t3363,Male,17,20,0.0013
t3363,Male,17,21,0.0014
t3363,Male,17,22,0.00151
t3363,Male,17,23,0.00163
t3363,Male,17,24,0.00176
t3363,Male,17,25,0.00188
t3363,Male,18,1,6.5e-4
t3363,Male,18,2,6.8e-4
t3363,Male,18,3,7e-4
t3363,Male,18,4,7.1e-4
t3363,Male,18,5,7.2e-4
t3363,Male,18,6,7.3e-4
t3363,Male,18,7,7.4e-4
t3363,Male,18,8,7.3e-4
t3363,Male,18,9,6.9e-4
t3363,Male,18,10,6.6e-4
t3363,Male,18,11,6.4e-4
t3363,Male,18,12,6.3e-4
t3363,Male,18,13,6.3e-4
t3363,Male,18,14,6.7e-4
t3363,Male,18,15,7.1e-4
t3363,Male,18,16,7.8e-4
t3363,Male,18,17,8.6e-4
t3363,Male,18,18,9.6e-4
t3363,Male,18,19,0.00107
t3363,Male,18,20,0.00119
t3363,Male,18,21,0.00132
t3363,Male,18,22,0.00145
t3363,Male,18,23,0.00159
t3363,Male,18,24,0.00174
t3363,Male,18,25,0.00188
t3363,Male,19,1,6e-4
t3363,Male,19,2,6.2e-4
t3363,Male,19,3,6.5e-4
t3363,Male,19,4,6.5e-4
t3363,Male,19,5,6.6e-4
t3363,Male,19,6,6.7e-4
t3363,Male,19,7,6.7e-4
t3363,Male,19,8,6.5e-4
t3363,Male,19,9,6.1e-4
t3363,Male,19,10,5.9e-4
t3363,Male,19,11,6e-4
t3363,Male,19,12,6e-4
t3363,Male,19,13,6.2e-4
t3363,Male,19,14,6.8e-4
t3363,Male,19,15,7.4e-4
t3363,Male,19,16,7.9e-4
t3363,Male,19,17,8.8e-4
t3363,Male,19,18,9.9e-4
t3363,Male,19,19,0.00112
t3363,Male,19,20,0.00126
t3363,Male,19,21,0.00141
t3363,Male,19,22,0.00154
t3363,Male,19,23,0.00168
t3363,Male,19,24,0.00182
t3363,Male,19,25,0.00196
t3363,Male,20,1,5.4e-4
t3363,Male,20,2,5.8e-4
t3363,Male,20,3,5.9e-4
t3363,Male,20,4,5.9e-4
t3363,Male,20,5,5.9e-4
t3363,Male,20,6,5.9e-4
t3363,Male,20,7,5.9e-4
t3363,Male,20,8,5.7e-4
t3363,Male,20,9,5.5e-4
t3363,Male,20,10,5.6e-4
t3363,Male,20,11,5.7e-4
t3363,Male,20,12,5.9e-4
t3363,Male,20,13,6.3e-4
t3363,Male,20,14,6.9e-4
t3363,Male,20,15,7.5e-4
t3363,Male,20,16,8.2e-4
t3363,Male,20,17,9.1e-4
t3363,Male,20,18,0.00104
t3363,Male,20,19,0.00119
t3363,Male,20,20,0.00134
t3363,Male,20,21,0.00149
t3363,Male,20,22,0.00162
t3363,Male,20,23,0.00175
t3363,Male,20,24,0.00188
t3363,Male,20,25,0.00201
t3363,Male,21,1,4.9e-4
t3363,Male,21,2,5.3e-4
t3363,Male,21,3,5.1e-4
t3363,Male,21,4,5.1e-4
t3363,Male,21,5,5.1e-4
t3363,Male,21,6,5.2e-4
t3363,Male,21,7,5.2e-4
t3363,Male,21,8,5.1e-4
t3363,Male,21,9,5.1e-4
t3363,Male,21,10,5.4e-4
t3363,Male,21,11,5.6e-4
t3363,Male,21,12,6e-4
t3363,Male,21,13,6.5e-4
t3363,Male,21,14,7.1e-4
t3363,Male,21,15,7.8e-4
t3363,Male,21,16,8.5e-4
t3363,Male,21,17,9.6e-4
t3363,Male,21,18,0.00111
t3363,Male,21,19,0.00126
t3363,Male,21,20,0.00142
t3363,Male,21,21,0.00155
t3363,Male,21,22,0.00167
t3363,Male,21,23,0.00178
t3363,Male,21,24,0.00191
t3363,Male,21,25,0.00205
t3363,Male,22,1,4.4e-4
t3363,Male,22,2,4.6e-4
t3363,Male,22,3,4.4e-4
t3363,Male,22,4,4.4e-4
t3363,Male,22,5,4.5e-4
t3363,Male,22,6,4.6e-4
t3363,Male,22,7,4.6e-4
t3363,Male,22,8,4.7e-4
t3363,Male,22,9,4.8e-4
t3363,Male,22,10,5.3e-4
t3363,Male,22,11,5.7e-4
t3363,Male,22,12,6.1e-4
t3363,Male,22,13,6.6e-4
t3363,Male,22,14,7.3e-4
t3363,Male,22,15,8.1e-4
t3363,Male,22,16,9e-4
t3363,Male,22,17,0.00103
t3363,Male,22,18,0.00117
t3363,Male,22,19,0.00133
t3363,Male,22,20,0.00148
t3363,Male,22,21,0.0016
t3363,Male,22,22,0.0017
t3363,Male,22,23,0.00179
t3363,Male,22,24,0.00193
t3363,Male,22,25,0.00209
t3363,Male,23,1,3.9e-4
t3363,Male,23,2,4e-4
t3363,Male,23,3,3.9e-4
t3363,Male,23,4,4e-4
t3363,Male,23,5,4e-4
t3363,Male,23,6,4.1e-4
t3363,Male,23,7,4.2e-4
t3363,Male,23,8,4.4e-4
t3363,Male,23,9,4.7e-4
t3363,Male,23,10,5.3e-4
t3363,Male,23,11,5.8e-4
t3363,Male,23,12,6.3e-4
t3363,Male,23,13,6.8e-4
t3363,Male,23,14,7.6e-4
t3363,Male,23,15,8.6e-4
t3363,Male,23,16,9.6e-4
t3363,Male,23,17,0.00109
t3363,Male,23,18,0.00125
t3363,Male,23,19,0.0014
t3363,Male,23,20,0.00152
t3363,Male,23,21,0.00162
t3363,Male,23,22,0.00171
t3363,Male,23,23,0.0018
t3363,Male,23,24,0.00195
t3363,Male,23,25,0.00213
