table,gender_blend,tobacco,issue_age,duration,q_sel
t3319,20% Male,Nonsmoker,30,9,5e-4
t3319,20% Male,Nonsmoker,30,10,5.7e-4
t3319,20% Male,Nonsmoker,30,11,6.5e-4
t3319,20% Male,Nonsmoker,30,12,7.2e-4
t3319,20% Male,Nonsmoker,30,13,7.8e-4
t3319,20% Male,Nonsmoker,30,14,8.4e-4
t3319,20% Male,Nonsmoker,30,15,8.8e-4
t3319,20% Male,Nonsmoker,30,16,9.6e-4
t3319,20% Male,Nonsmoker,30,17,0.00106
t3319,20% Male,Nonsmoker,30,18,0.00117
t3319,20% Male,Nonsmoker,30,19,0.00126
t3319,20% Male,Nonsmoker,30,20,0.00137
t3319,20% Male,Nonsmoker,30,21,0.00149
t3319,20% Male,Nonsmoker,30,22,0.00164
t3319,20% Male,Nonsmoker,30,23,0.00183
t3319,20% Male,Nonsmoker,30,24,0.00206
t3319,20% Male,Nonsmoker,30,25,0.00231
t3319,20% Male,Nonsmoker,31,1,1e-4
t3319,20% Male,Nonsmoker,31,2,1.6e-4
t3319,20% Male,Nonsmoker,31,3,2e-4
t3319,20% Male,Nonsmoker,31,4,2.3e-4
t3319,20% Male,Nonsmoker,31,5,2.7e-4
t3319,20% Male,Nonsmoker,31,6,3.2e-4
t3319,20% Male,Nonsmoker,31,7,3.9e-4
t3319,20% Male,Nonsmoker,31,8,4.6e-4
t3319,20% Male,Nonsmoker,31,9,5.3e-4
t3319,20% Male,Nonsmoker,31,10,6e-4
t3319,20% Male,Nonsmoker,31,11,6.7e-4
t3319,20% Male,Nonsmoker,31,12,7.4e-4
t3319,20% Male,Nonsmoker,31,13,8.1e-4
t3319,20% Male,Nonsmoker,31,14,8.7e-4
t3319,20% Male,Nonsmoker,31,15,0.00093000000000000005
t3319,20% Male,Nonsmoker,31,16,0.00103
t3319,20% Male,Nonsmoker,31,17,0.00114
t3319,20% Male,Nonsmoker,31,18,0.00125
t3319,20% Male,Nonsmoker,31,19,0.00135
t3319,20% Male,Nonsmoker,31,20,0.00148
t3319,20% Male,Nonsmoker,31,21,0.00163
t3319,20% Male,Nonsmoker,31,22,0.00182
t3319,20% Male,Nonsmoker,31,23,0.00205
t3319,20% Male,Nonsmoker,31,24,0.0023
t3319,20% Male,Nonsmoker,31,25,0.00256
t3319,20% Male,Nonsmoker,32,1,1e-4
t3319,20% Male,Nonsmoker,32,2,1.7e-4
t3319,20% Male,Nonsmoker,32,3,2.1e-4
t3319,20% Male,Nonsmoker,32,4,2.5e-4
t3319,20% Male,Nonsmoker,32,5,3e-4
t3319,20% Male,Nonsmoker,32,6,3.6e-4
t3319,20% Male,Nonsmoker,32,7,4.3e-4
t3319,20% Male,Nonsmoker,32,8,5e-4
t3319,20% Male,Nonsmoker,32,9,5.6e-4
t3319,20% Male,Nonsmoker,32,10,6.3e-4
t3319,20% Male,Nonsmoker,32,11,6.9e-4
t3319,20% Male,Nonsmoker,32,12,7.7e-4
t3319,20% Male,Nonsmoker,32,13,8.5e-4
t3319,20% Male,Nonsmoker,32,14,9.1e-4
t3319,20% Male,Nonsmoker,32,15,0.001
t3319,20% Male,Nonsmoker,32,16,0.00111
t3319,20% Male,Nonsmoker,32,17,0.00123
t3319,20% Male,Nonsmoker,32,18,0.00134
t3319,20% Male,Nonsmoker,32,19,0.00146
t3319,20% Male,Nonsmoker,32,20,0.0016
t3319,20% Male,Nonsmoker,32,21,0.0018
t3319,20% Male,Nonsmoker,32,22,0.00203
t3319,20% Male,Nonsmoker,32,23,0.00228
t3319,20% Male,Nonsmoker,32,24,0.00254
t3319,20% Male,Nonsmoker,32,25,0.00279
t3319,20% Male,Nonsmoker,33,1,1.1e-4
t3319,20% Male,Nonsmoker,33,2,1.7e-4
t3319,20% Male,Nonsmoker,33,3,2.3e-4
t3319,20% Male,Nonsmoker,33,4,2.8e-4
t3319,20% Male,Nonsmoker,33,5,3.4e-4
t3319,20% Male,Nonsmoker,33,6,4e-4
t3319,20% Male,Nonsmoker,33,7,4.7e-4
t3319,20% Male,Nonsmoker,33,8,5.3e-4
t3319,20% Male,Nonsmoker,33,9,5.9e-4
t3319,20% Male,Nonsmoker,33,10,6.6e-4
t3319,20% Male,Nonsmoker,33,11,7.2e-4
t3319,20% Male,Nonsmoker,33,12,7.9e-4
t3319,20% Male,Nonsmoker,33,13,8.9e-4
t3319,20% Male,Nonsmoker,33,14,9.9e-4
t3319,20% Male,Nonsmoker,33,15,0.00109
t3319,20% Male,Nonsmoker,33,16,0.0012
t3319,20% Male,Nonsmoker,33,17,0.00133
t3319,20% Male,Nonsmoker,33,18,0.00145
t3319,20% Male,Nonsmoker,33,19,0.00158
t3319,20% Male,Nonsmoker,33,20,0.00177
t3319,20% Male,Nonsmoker,33,21,0.00201
t3319,20% Male,Nonsmoker,33,22,0.00226
t3319,20% Male,Nonsmoker,33,23,0.00252
t3319,20% Male,Nonsmoker,33,24,0.00277
t3319,20% Male,Nonsmoker,33,25,0.00301
t3319,20% Male,Nonsmoker,34,1,1.1e-4
t3319,20% Male,Nonsmoker,34,2,1.8e-4
t3319,20% Male,Nonsmoker,34,3,2.6e-4
t3319,20% Male,Nonsmoker,34,4,3.1e-4
t3319,20% Male,Nonsmoker,34,5,3.8e-4
t3319,20% Male,Nonsmoker,34,6,4.3e-4
t3319,20% Male,Nonsmoker,34,7,5.1e-4
t3319,20% Male,Nonsmoker,34,8,5.7e-4
t3319,20% Male,Nonsmoker,34,9,6.2e-4
t3319,20% Male,Nonsmoker,34,10,6.8e-4
t3319,20% Male,Nonsmoker,34,11,7.5e-4
t3319,20% Male,Nonsmoker,34,12,8.3e-4
t3319,20% Male,Nonsmoker,34,13,9.5e-4
t3319,20% Male,Nonsmoker,34,14,0.00107
t3319,20% Male,Nonsmoker,34,15,0.00118
t3319,20% Male,Nonsmoker,34,16,0.0013
t3319,20% Male,Nonsmoker,34,17,0.00143
t3319,20% Male,Nonsmoker,34,18,0.00157
t3319,20% Male,Nonsmoker,34,19,0.00175
t3319,20% Male,Nonsmoker,34,20,0.00196
t3319,20% Male,Nonsmoker,34,21,0.00223
t3319,20% Male,Nonsmoker,34,22,0.0025
t3319,20% Male,Nonsmoker,34,23,0.00276
t3319,20% Male,Nonsmoker,34,24,0.003
t3319,20% Male,Nonsmoker,34,25,0.00325
t3319,20% Male,Nonsmoker,35,1,1.2e-4
t3319,20% Male,Nonsmoker,35,2,1.9e-4
t3319,20% Male,Nonsmoker,35,3,2.9e-4
t3319,20% Male,Nonsmoker,35,4,3.6e-4
t3319,20% Male,Nonsmoker,35,5,4.2e-4
t3319,20% Male,Nonsmoker,35,6,4.7e-4
t3319,20% Male,Nonsmoker,35,7,5.5e-4
t3319,20% Male,Nonsmoker,35,8,6e-4
t3319,20% Male,Nonsmoker,35,9,6.4e-4
t3319,20% Male,Nonsmoker,35,10,7e-4
t3319,20% Male,Nonsmoker,35,11,7.9e-4
t3319,20% Male,Nonsmoker,35,12,9.1e-4
t3319,20% Male,Nonsmoker,35,13,0.00105
t3319,20% Male,Nonsmoker,35,14,0.00117
t3319,20% Male,Nonsmoker,35,15,0.00129
t3319,20% Male,Nonsmoker,35,16,0.00141
t3319,20% Male,Nonsmoker,35,17,0.00155
t3319,20% Male,Nonsmoker,35,18,0.00171
t3319,20% Male,Nonsmoker,35,19,0.00192
t3319,20% Male,Nonsmoker,35,20,0.00218
t3319,20% Male,Nonsmoker,35,21,0.00247
t3319,20% Male,Nonsmoker,35,22,0.00274
t3319,20% Male,Nonsmoker,35,23,0.00299
t3319,20% Male,Nonsmoker,35,24,0.00324
t3319,20% Male,Nonsmoker,35,25,0.0035
t3319,20% Male,Nonsmoker,36,1,1.3e-4
t3319,20% Male,Nonsmoker,36,2,2e-4
t3319,20% Male,Nonsmoker,36,3,3.2e-4
t3319,20% Male,Nonsmoker,36,4,3.9e-4
t3319,20% Male,Nonsmoker,36,5,4.6e-4
t3319,20% Male,Nonsmoker,36,6,5.2e-4
t3319,20% Male,Nonsmoker,36,7,5.9e-4
t3319,20% Male,Nonsmoker,36,8,6.3e-4
t3319,20% Male,Nonsmoker,36,9,6.8e-4
t3319,20% Male,Nonsmoker,36,10,7.4e-4
t3319,20% Male,Nonsmoker,36,11,8.6e-4
t3319,20% Male,Nonsmoker,36,12,0.001
t3319,20% Male,Nonsmoker,36,13,0.00115
t3319,20% Male,Nonsmoker,36,14,0.00127
t3319,20% Male,Nonsmoker,36,15,0.00139
t3319,20% Male,Nonsmoker,36,16,0.00152
t3319,20% Male,Nonsmoker,36,17,0.00168
t3319,20% Male,Nonsmoker,36,18,0.00187
t3319,20% Male,Nonsmoker,36,19,0.00212
t3319,20% Male,Nonsmoker,36,20,0.00241
t3319,20% Male,Nonsmoker,36,21,0.00272
t3319,20% Male,Nonsmoker,36,22,0.00298
t3319,20% Male,Nonsmoker,36,23,0.00324
t3319,20% Male,Nonsmoker,36,24,0.0035
t3319,20% Male,Nonsmoker,36,25,0.00379
t3319,20% Male,Nonsmoker,37,1,1.4e-4
t3319,20% Male,Nonsmoker,37,2,2.2e-4
t3319,20% Male,Nonsmoker,37,3,3.5e-4
t3319,20% Male,Nonsmoker,37,4,4.5e-4
t3319,20% Male,Nonsmoker,37,5,5.1e-4
t3319,20% Male,Nonsmoker,37,6,5.8e-4
t3319,20% Male,Nonsmoker,37,7,6.2e-4
t3319,20% Male,Nonsmoker,37,8,6.7e-4
t3319,20% Male,Nonsmoker,37,9,7.1e-4
t3319,20% Male,Nonsmoker,37,10,8.1e-4
t3319,20% Male,Nonsmoker,37,11,9.5e-4
t3319,20% Male,Nonsmoker,37,12,0.00109
t3319,20% Male,Nonsmoker,37,13,0.00125
t3319,20% Male,Nonsmoker,37,14,0.00138
t3319,20% Male,Nonsmoker,37,15,0.00151
t3319,20% Male,Nonsmoker,37,16,0.00165
t3319,20% Male,Nonsmoker,37,17,0.00182
t3319,20% Male,Nonsmoker,37,18,0.00204
t3319,20% Male,Nonsmoker,37,19,0.00232
t3319,20% Male,Nonsmoker,37,20,0.00264
t3319,20% Male,Nonsmoker,37,21,0.00296
t3319,20% Male,Nonsmoker,37,22,0.00323
t3319,20% Male,Nonsmoker,37,23,0.0035
t3319,20% Male,Nonsmoker,37,24,0.00379
t3319,20% Male,Nonsmoker,37,25,0.00413
t3319,20% Male,Nonsmoker,38,1,1.5e-4
t3319,20% Male,Nonsmoker,38,2,2.3e-4
t3319,20% Male,Nonsmoker,38,3,3.7e-4
t3319,20% Male,Nonsmoker,38,4,4.8e-4
t3319,20% Male,Nonsmoker,38,5,5.5e-4
t3319,20% Male,Nonsmoker,38,6,6.1e-4
t3319,20% Male,Nonsmoker,38,7,6.6e-4
t3319,20% Male,Nonsmoker,38,8,7.1e-4
t3319,20% Male,Nonsmoker,38,9,7.8e-4
